token,tf,bars,cycles,reach30,reach60,reach100,final30,final60,final100,open,resolved,wins,pnl
URNM,12H,123,3,3,3,3,0,0,3,1,2,0,-1.84
USAR,8H,254,3,3,3,3,0,0,3,1,2,1,-1.41
USAR,12H,171,4,4,4,3,0,1,3,1,3,2,3.00
USO,8H,213,2,2,2,2,0,0,2,0,2,0,-30.79
USO,12H,143,2,2,2,2,0,0,2,0,2,1,-20.04
UVXY,8H,81,2,2,2,1,0,1,1,0,2,2,1.00
UVXY,12H,55,2,2,2,0,0,2,0,0,2,2,1.95
VRT,8H,162,3,3,3,3,0,0,3,1,2,2,9.41
VRT,12H,109,4,4,4,1,0,3,1,1,3,3,40.12
WDC,8H,210,4,4,4,4,0,0,4,1,3,2,-15.69
WDC,12H,141,3,3,3,2,0,1,2,1,2,1,54.01
WEN,8H,78,1,1,1,1,0,0,1,0,1,0,-0.35
WEN,12H,53,1,1,1,0,0,1,0,0,1,1,0.03
XLE,8H,213,4,4,3,3,1,0,3,0,4,2,-1.30
XLE,12H,143,3,3,3,3,0,0,3,0,3,2,-0.11
ZHIPU,8H,81,2,2,2,2,0,0,2,1,1,1,16.00
ZHIPU,12H,55,1,1,1,1,0,0,1,1,0,0,0.00
