Date,SPY|Buy&Hold,SPY|SMA 50/200 (Golden Cross),SPY|SMA 10/20 (backtesting.py),SPY|RSI(2) MeanRev (Connors),SPY|Bollinger MeanRev,SPY|MACD Crossover,SPY|Donchian Breakout (Turtle),QQQ|Buy&Hold,QQQ|SMA 50/200 (Golden Cross),QQQ|SMA 10/20 (backtesting.py),QQQ|RSI(2) MeanRev (Connors),QQQ|Bollinger MeanRev,QQQ|MACD Crossover,QQQ|Donchian Breakout (Turtle),AAPL|Buy&Hold,AAPL|SMA 50/200 (Golden Cross),AAPL|SMA 10/20 (backtesting.py),AAPL|RSI(2) MeanRev (Connors),AAPL|Bollinger MeanRev,AAPL|MACD Crossover,AAPL|Donchian Breakout (Turtle),BTC-USD|Buy&Hold,BTC-USD|SMA 50/200 (Golden Cross),BTC-USD|SMA 10/20 (backtesting.py),BTC-USD|RSI(2) MeanRev (Connors),BTC-USD|Bollinger MeanRev,BTC-USD|MACD Crossover,BTC-USD|Donchian Breakout (Turtle)
2025-04,-0.87,-6.08,-9.2,0.0,1.76,-3.74,0.0,1.4,-2.49,-4.92,0.0,0.76,-0.21,0.0,-4.34,-18.35,-18.17,0.0,0.54,-3.94,0.0,14.12,-4.06,11.6,0.0,6.53,6.92,7.59
2025-05,6.28,0.0,6.28,1.32,0.0,5.93,3.94,9.18,0.0,9.18,1.49,0.0,9.3,7.72,-5.36,0.0,-1.57,0.0,0.0,-11.35,0.0,11.07,-6.35,11.07,-1.0,0.0,6.54,10.34
2025-06,5.14,0.43,5.14,0.0,0.0,0.93,5.14,6.39,3.71,6.39,0.0,0.0,0.6,6.39,2.15,0.0,0.0,0.0,0.0,-0.89,0.0,2.39,2.39,-2.11,3.0,8.48,-3.91,0.0
2025-07,2.3,2.3,2.3,0.0,0.0,0.25,2.3,2.42,2.42,2.42,0.0,0.0,0.41,2.42,1.17,0.0,-0.17,0.0,0.0,2.92,1.79,8.05,8.05,7.99,0.0,0.0,8.32,6.28
2025-08,2.05,2.05,2.05,1.47,0.0,-0.89,-0.52,0.95,0.95,0.95,2.71,0.0,-1.95,-2.69,11.96,0.0,0.01,1.36,5.27,3.26,5.57,-6.5,-6.5,-5.39,-0.26,-0.39,-1.65,-3.41
2025-09,3.56,3.56,3.56,0.0,0.0,1.07,3.56,5.38,5.38,3.44,0.0,0.0,3.49,3.49,9.69,7.52,9.69,3.11,0.0,-1.51,1.23,5.38,5.38,-5.11,-0.65,8.46,1.52,-0.78
2025-10,2.38,2.38,1.38,2.7,1.76,0.97,-1.38,4.78,4.78,3.57,2.35,0.0,-0.01,0.9,6.18,6.18,-0.13,2.76,0.0,4.81,2.76,-3.95,-3.95,-12.16,-2.42,0.0,-8.81,-4.67
2025-11,0.2,0.2,-1.53,0.36,2.16,-0.71,-1.77,-1.56,-1.56,-3.26,0.15,2.91,-2.81,-3.12,3.24,3.24,3.24,1.41,0.0,-0.75,-0.03,-17.49,-14.08,-5.22,0.0,-11.06,-3.79,0.0
2025-12,0.08,0.08,0.15,1.57,0.0,-1.68,-1.68,-0.67,-0.67,-0.57,0.46,0.0,-3.07,-1.69,-2.51,-2.51,-2.44,-1.31,0.0,-0.44,-1.75,-3.19,0.0,-6.31,0.0,3.25,-5.7,0.0
2026-01,1.47,1.47,1.47,2.9,1.58,-0.53,-1.24,1.23,1.23,1.38,3.4,1.99,-2.0,-4.61,-4.55,-4.55,0.0,-3.92,-3.46,1.14,0.0,-10.16,0.0,-1.03,0.0,0.0,0.87,-2.63
2026-02,-0.86,-0.86,-1.35,2.96,1.82,-2.07,-2.12,-2.34,-2.34,-2.01,1.31,1.7,-2.47,-2.64,1.91,1.91,-1.58,1.6,0.0,-4.32,-7.5,-14.79,0.0,0.0,0.0,-14.83,-2.65,0.0
2026-03,-4.94,-4.94,0.0,-4.19,-3.06,0.01,0.0,-4.84,-4.84,-2.31,0.91,-2.71,-1.7,0.0,-3.93,-3.93,0.0,-3.48,1.42,0.15,0.0,1.85,0.0,-6.45,0.0,2.61,-2.46,-5.6
2026-04,10.51,10.51,5.72,-0.05,1.27,9.53,6.26,15.69,15.69,8.1,0.0,1.91,13.41,9.38,6.92,6.92,4.76,0.0,0.67,6.87,1.8,11.83,0.0,6.27,0.0,0.0,10.77,6.01
2026-05,5.26,5.26,5.26,0.0,0.0,2.73,5.26,10.57,10.57,10.57,0.0,0.0,5.01,10.57,15.11,15.11,15.11,0.0,0.0,15.11,15.11,-3.57,0.0,0.53,0.0,0.0,0.71,3.57
2026-06,-3.39,-3.39,-2.0,0.47,3.95,0.0,-2.55,-4.2,-4.2,-1.19,2.21,0.0,0.21,-4.55,-9.06,-9.06,-5.31,2.2,-2.38,-0.63,-3.42,-18.54,0.0,-7.13,0.0,-9.74,-7.0,0.0
