symbol,entry_ts,exit_ts,side,entry_px,exit_px,qty,bars_held,entry_z,reason,gross,cost,pnl,ret_pct,equity
SNDK,2026-05-04 02:30:00+00:00,2026-05-04 04:30:00+00:00,short,1228.41,1240.27197,1.09,8,2.6486995990407385,time_stop,-12.929547299999923,0.9437416036500001,-13.873288903649923,-0.13952103004077743,9929.637663957878
MSTR,2026-05-05 01:30:00+00:00,2026-05-05 03:30:00+00:00,short,186.39,188.206445,12.88,8,2.616889422791973,time_stop,-23.395811600000204,1.6921901458000002,-25.088001745800206,-0.25265777659605276,9904.549662212077
INTC,2026-05-05 03:00:00+00:00,2026-05-05 05:00:00+00:00,short,99.0,98.619577,9.75,8,2.8392819869086905,time_stop,3.7091242499999346,0.673820437875,3.0353038121249347,0.03064555094014271,9907.584966024202
SNDK,2026-05-06 04:45:00+00:00,2026-05-06 06:45:00+00:00,short,1503.91,1495.5485299999998,0.68,8,2.714064291466167,time_stop,5.685799600000192,0.7130182602,4.972781339800192,0.05019165979250452,9912.557747364002
SNDK,2026-05-11 00:15:00+00:00,2026-05-11 02:15:00+00:00,short,1619.81,1608.18231,0.55,8,3.174096425786396,time_stop,6.395229500000017,0.62042923525,5.7748002647500165,0.05825741863935856,9918.332547628752
MU,2026-05-11 00:30:00+00:00,2026-05-11 02:30:00+00:00,short,806.5,791.73745,1.09,8,4.190953420580176,time_stop,16.091179500000038,0.6073139102499999,15.483865589750039,0.15611359586296467,9933.816413218501
INTC,2026-05-11 00:45:00+00:00,2026-05-11 02:45:00+00:00,short,129.79999999999998,126.768019,11.36,8,2.8764310829134208,time_stop,34.443304159999855,1.0149479479199999,33.428356212079855,0.33651071070327193,9967.244769430581
SNDK,2026-05-12 00:30:00+00:00,2026-05-12 01:30:00+00:00,long,1527.79,1458.8514622207783,1.09,4,-2.7941299503032053,stop,-75.14300617935159,1.1281322669103242,-76.27113844626192,-0.7652178732500337,9890.97363098432
MU,2026-05-12 01:30:00+00:00,2026-05-12 03:30:00+00:00,long,770.94,781.0956010000001,0.92,8,-2.606633496134365,time_stop,9.343152920000044,0.50115693646,8.841995983540045,0.08939459666378785,9899.815626967858
AMD,2026-05-12 01:30:00+00:00,2026-05-12 03:30:00+00:00,long,452.06,451.78442400000006,3.4,8,-2.820609262826713,time_stop,-0.9369583999998099,1.0754343208000001,-2.0123927207998102,-0.020327577771427355,9897.803234247058
INTC,2026-05-12 01:45:00+00:00,2026-05-12 03:45:00+00:00,long,124.49,125.13244900000001,6.88,8,-2.953567858679896,time_stop,4.420049120000092,0.60175386456,3.818295255440092,0.038577199051892004,9901.621529502498
MU,2026-05-13 04:15:00+00:00,2026-05-13 06:15:00+00:00,short,788.52,795.748653,1.34,8,2.5698283310454104,time_stop,-9.686395020000012,0.7444749575100001,-10.430869977510012,-0.10534506844591651,9891.190659524987
INTC,2026-05-13 04:15:00+00:00,2026-05-13 06:15:00+00:00,short,123.22,123.877152,9.64,8,2.778085886202482,time_stop,-6.334945279999966,0.83465603264,-7.169601312639966,-0.07248471452459372,9884.021058212347
AMD,2026-05-13 04:30:00+00:00,2026-05-13 06:30:00+00:00,short,455.92,454.34626299999996,4.32,8,2.858527966264075,time_stop,6.798543840000221,1.37530280808,5.423241031920221,0.0548687725368028,9889.444299244267
INTC,2026-05-14 02:00:00+00:00,2026-05-14 04:00:00+00:00,long,119.25999999999999,118.074567,24.29,8,-3.3155291367743494,time_stop,-28.794167569999733,2.0133806962149996,-30.80754826621473,-0.31151950841736364,9858.636750978052
SNDK,2026-05-14 04:00:00+00:00,2026-05-14 06:00:00+00:00,long,1416.19,1430.4707300000002,0.86,8,-2.6075972696554217,time_stop,12.28142780000015,0.8586870939000001,11.42274070610015,0.11586531682452876,9870.059491684153
MSTR,2026-05-14 04:00:00+00:00,2026-05-14 06:00:00+00:00,long,176.62,179.706072,13.83,8,-3.06296186544147,time_stop,42.68037576000002,1.7311984078800002,40.94917735212002,0.41488278147280705,9911.008669036273
INTC,2026-05-15 01:15:00+00:00,2026-05-15 03:15:00+00:00,long,113.47,111.246616,15.78,8,-3.0051546996096876,time_stop,-35.08499951999993,1.2358471202399999,-36.320846640239935,-0.36646972929922483,9874.687822396034
SNDK,2026-05-15 01:30:00+00:00,2026-05-15 03:30:00+00:00,long,1360.49,1344.39656,1.32,8,-3.3189550213310035,time_stop,-21.243340800000134,1.2464710896,-22.489811889600134,-0.22775213043791306,9852.198010506434
MU,2026-05-15 01:45:00+00:00,2026-05-15 03:45:00+00:00,long,773.25,760.681727,2.49,8,-2.878940162463942,time_stop,-31.294999769999944,1.332127250115,-32.62712702011494,-0.33116596910984947,9819.57088348632
INTC,2026-05-15 03:30:00+00:00,2026-05-15 05:30:00+00:00,long,111.27,109.24721600000001,9.43,8,-2.7837908458501635,time_stop,-19.07485311999988,0.72495584344,-19.79980896343988,-0.201636193662367,9799.77107452288
SNDK,2026-05-15 04:15:00+00:00,2026-05-15 06:15:00+00:00,long,1339.39,1319.90391,0.96,8,-2.6886165902005947,time_stop,-18.7066464000001,0.8907167568000001,-19.5973631568001,-0.19997776486584137,9780.17371136608
MU,2026-05-15 04:30:00+00:00,2026-05-15 06:30:00+00:00,long,754.55,763.061013,1.23,8,-2.6364062350670685,time_stop,10.46854599000006,0.654901822995,9.813644167005059,0.10034222761912788,9789.987355533085
MU,2026-05-18 00:15:00+00:00,2026-05-18 02:15:00+00:00,long,710.52,740.637742,1.64,8,-3.5153536017213716,time_stop,49.39309688000003,0.84037350844,48.55272337156003,0.4959426565971926,9838.540078904645
AMD,2026-05-18 00:15:00+00:00,2026-05-18 02:15:00+00:00,long,417.34000000000003,421.413538,7.33,8,-3.5079213038690207,time_stop,29.859033539999892,2.1563010567700003,27.70273248322989,0.28157361011954246,9866.242811387876
INTC,2026-05-18 00:15:00+00:00,2026-05-18 02:15:00+00:00,long,105.6,107.577717,17.52,8,-4.539442989495228,time_stop,34.64960184000022,1.3124032009200002,33.33719863908022,0.3378915284813541,9899.580010026955
MU,2026-05-21 01:00:00+00:00,2026-05-21 03:00:00+00:00,short,741.99,754.4262600000001,2.28,8,3.3784079246955407,time_stop,-28.354672800000138,1.1983933763999999,-29.553066176400137,-0.2985284845060782,9870.026943850555
SNDK,2026-05-21 01:15:00+00:00,2026-05-21 03:15:00+00:00,short,1419.01,1427.22804,1.29,8,2.915307572986815,time_stop,-10.601271599999967,1.2866666657999999,-11.887938265799967,-0.12044484106709208,9858.139005584755
MU,2026-05-21 03:15:00+00:00,2026-05-21 05:15:00+00:00,short,754.21,754.166182,1.19,8,2.5154785385880185,time_stop,0.0521434199999851,0.62823085829,-0.576087438290015,-0.005843774752655187,9857.562918146465
AMD,2026-05-22 04:15:00+00:00,2026-05-22 06:15:00+00:00,short,455.59999999999997,455.33655999999996,6.77,8,2.6059727042352043,time_stop,1.7834888000000186,2.1581966556,-0.3747078555999812,-0.0038012220536801622,9857.188210290864
INTC,2026-05-22 04:15:00+00:00,2026-05-22 06:15:00+00:00,short,119.78,119.625877,31.15,8,2.670524052906349,time_stop,4.800931449999951,2.6094024342749997,2.1915290157249516,0.022232800763984647,9859.379739306589
INTC,2026-05-25 04:45:00+00:00,2026-05-25 06:45:00+00:00,short,123.33,123.23696,24.15,8,2.5843672695242663,time_stop,2.2469160000000485,2.083770192,0.16314580800004874,0.0016547268927033212,9859.542885114588
INTC,2026-05-26 00:15:00+00:00,2026-05-26 01:30:00+00:00,long,122.94,120.9262427491366,37.39,5,-2.654909558763393,stop,-75.29438360978224,3.180061428195109,-78.47444503797735,-0.7959237659633682,9781.068440076611
