ma_len,z_entry,tp_sd,stop_sd,max_hold_bars,trades,final_equity,total_return_pct,days,cagr_pct,sharpe,sortino,max_dd_pct,max_dd_at,calmar,win_rate_pct,profit_factor,avg_win,avg_loss,expectancy,avg_bars_held,total_costs,cost_pct_of_gross,trades_per_week,max_consec_losses,score
96,3.0,2.5,4.0,48,40,9508.427925533346,-4.91572074466654,155,-11.192516509577876,-2.1851751365461225,-1.215489999924197,-6.124822486568182,2026-07-13 06:10:00+00:00,-1.8274025956055404,37.5,0.44776577795891936,26.57195607242052,-35.6060566221187,-12.289301861666491,23.075,93.57433309373265,23.511272393390982,1.8064516129032258,7,-0.874070054618449
72,2.5,2.5,4.0,48,92,9699.066419376217,-3.009335806237834,155,-6.942553032538335,-0.9539561761796596,-0.7793964475308097,-5.733765601406482,2026-07-14 01:00:00+00:00,-1.2108191222249023,47.82608695652174,0.82888140096358,33.12936828994461,-36.63803719544462,-3.271017180693253,22.282608695652176,221.31770364234208,277.9818699905083,4.15483870967742,5,-0.8776396820852869
72,3.0,2.0,4.0,24,57,9692.171932137924,-3.0782806786207595,155,-7.098248215723169,-1.5773261750990122,-1.1392827065464879,-4.569582580666909,2026-07-15 00:55:00+00:00,-1.5533690638953752,42.10526315789473,0.6969444426421308,29.496662682380247,-30.780241583006152,-5.400492418632929,12.701754385964913,141.33037691235495,84.88428644637067,2.574193548387097,5,-0.8990759198064369
72,3.0,1.0,4.0,48,60,9714.525206469834,-2.8547479353016603,155,-6.5929086740248,-1.529503523555066,-1.1577171457143958,-4.136787435033273,2026-07-31 01:10:00+00:00,-1.5937267209311592,60.0,0.6905677128932441,17.69725500098628,-38.44066556523645,-4.757913225502813,9.983333333333333,131.9779167416613,85.98084827713096,2.709677419354839,3,-0.9177021141330396
72,3.0,1.5,4.0,48,57,9672.39197442696,-3.276080255730396,155,-7.544098082174466,-1.6122108905091233,-1.0131727550781344,-4.459475491705833,2026-07-15 00:55:00+00:00,-1.691700760819454,49.122807017543856,0.683446021606623,25.26113994169768,-35.68689461864051,-5.747509220579642,14.543859649122806,133.14436152116082,68.46747548973505,2.574193548387097,5,-0.9189602075902001
72,3.0,2.5,2.0,48,61,9331.093818373332,-6.689061816266673,155,-15.043616049048348,-1.5359276941805373,-1.3035000784359168,-9.421896773958437,2026-07-24 04:10:00+00:00,-1.5966653435036573,39.34426229508197,0.7090924088825263,67.93627800957599,-62.14532037449974,-10.96567510863389,15.0,294.79722119812527,78.79982902853622,2.7548387096774194,8,-0.9369158934501277
96,3.0,1.5,4.0,24,43,9641.113583508357,-3.5888641649164277,155,-8.246610921219089,-2.181009160039048,-1.225170459926169,-4.760088513403948,2026-07-13 03:10:00+00:00,-1.7324490706417393,39.53488372093023,0.514551695631946,22.376601354378458,-28.434178442926182,-8.34619573236388,12.046511627906977,94.33345025405778,35.657680046323506,1.9419354838709677,5,-0.9378339388167907
72,3.0,2.0,3.0,24,58,9581.45634159221,-4.185436584077906,155,-9.577973419302365,-1.6200517603146622,-1.2056442556760676,-6.145526669338186,2026-07-15 00:55:00+00:00,-1.5585276795054281,41.37931034482759,0.6903050346560017,38.87195829145835,-39.74913698243491,-7.216269972548051,12.431034482758621,188.7142515035783,82.11057672973637,2.6193548387096777,6,-0.939630020982504
96,3.0,2.5,3.0,48,44,9405.230109560376,-5.947698904396237,155,-13.445571662304456,-2.1609391138040395,-1.3125408610498588,-7.524444145109166,2026-07-13 04:25:00+00:00,-1.7869189275654307,38.63636363636363,0.5207142760403549,38.01062797612586,-45.961132075324564,-13.517497509991443,21.25,130.1995179629439,28.02579020888371,1.9870967741935484,7,-0.9508132100737774
72,3.0,1.5,3.0,48,58,9562.547294734906,-4.374527052650934,155,-9.99762866772943,-1.6434839469470375,-1.1058080430346662,-5.930264865070367,2026-07-15 00:55:00+00:00,-1.6858654537702171,48.275862068965516,0.6810565774548435,33.36127318989871,-45.71894515274194,-7.5422880218119674,14.120689655172415,178.2703559278639,68.78182730565143,2.6193548387096777,6,-0.9532206892292817
96,3.0,2.5,2.0,48,45,9206.139152743788,-7.938608472562114,155,-17.698379015087816,-2.1280010365448603,-1.5890300569335214,-10.243041786822483,2026-07-13 02:55:00+00:00,-1.7278440704846594,37.77777777777778,0.5451182416089534,55.96128213615507,-62.328665841815905,-17.64135216124908,18.333333333333332,196.35600915367186,32.862664305318226,2.032258064516129,7,-0.9576004664451871
72,3.0,1.5,4.0,24,57,9681.637286065234,-3.1836271393476667,155,-7.335857858004191,-1.6860523859426215,-1.1474501486050699,-4.227641355684475,2026-07-15 00:55:00+00:00,-1.7352129097091968,47.368421052631575,0.68395992456877,25.51801762519958,-33.57830632717201,-5.585310770785473,10.807017543859649,134.24284029536472,72.91056508015802,2.574193548387097,5,-0.9610498599872942
96,3.0,1.5,3.0,24,44,9495.306354931587,-5.046936450684136,155,-11.480841121235564,-2.221640749762072,-1.2176776276632975,-6.670852721461573,2026-07-13 03:10:00+00:00,-1.7210455095642,38.63636363636363,0.49918235100541286,29.590922997564178,-37.323679112111066,-11.470310115191081,11.704545454545455,127.99080088447553,33.9765953086305,1.9870967741935484,5,-0.9775219298953116
72,3.0,1.5,3.0,24,58,9568.038279453263,-4.319617205467363,155,-9.875880994338115,-1.7235099414173827,-1.2401552000031015,-5.692913940757494,2026-07-15 00:55:00+00:00,-1.734767308466293,46.55172413793103,0.6778707111678333,33.666514341797836,-43.25669702500885,-7.447615871495392,10.568965517241379,179.52222877564995,71.11495412866873,2.6193548387096777,6,-0.9996357660220819
96,3.0,1.5,4.0,48,42,9571.070201456561,-4.289297985434382,155,-9.808615778700025,-2.4008032121800467,-1.351465661220389,-5.531974011026031,2026-07-13 06:10:00+00:00,-1.7730769810469145,45.23809523809524,0.48250931428764116,21.049209059964,-36.0375987253369,-10.212614251034113,17.357142857142858,92.67464741495833,27.560811218487398,1.896774193548387,6,-1.0083373491156196
72,2.5,2.5,3.0,24,92,9600.786386105467,-3.9921361389453347,155,-9.147813443805031,-1.1227542926503198,-1.0315403949355526,-6.710816589642043,2026-07-14 01:00:00+00:00,-1.363144607159198,44.565217391304344,0.8098247098916446,41.46278054298928,-41.16054149327657,-4.339278411897226,14.608695652173912,302.8234841476366,314.16441179481905,4.15483870967742,5,-1.0329339492382943
96,3.0,2.0,4.0,48,40,9437.518568931151,-5.624814310688486,155,-12.744217160162963,-2.593693928182897,-1.4004819666290373,-6.650698000756339,2026-07-13 06:10:00+00:00,-1.916222501565046,37.5,0.36657832969416954,21.701552394068642,-35.520188679195364,-14.062035776721359,22.225,93.37964479420202,19.906051847675034,1.8064516129032258,7,-1.0374775712731588
96,3.0,2.5,4.0,24,42,9554.07682680005,-4.459231731999502,155,-10.185252617116136,-2.5113589832755236,-1.5057037683525263,-5.261328748918926,2026-07-13 03:10:00+00:00,-1.9358707853427628,30.952380952380953,0.4332380324866565,26.220596363607758,-27.130721583684295,-10.617218409522467,15.023809523809524,96.90482809463694,27.764966929001556,1.896774193548387,7,-1.0547707729757199
96,3.0,1.5,3.0,48,44,9419.410501197579,-5.805894988024207,155,-13.13795299968138,-2.4058178955501597,-1.3318081383237483,-7.432704794368417,2026-07-13 04:25:00+00:00,-1.7675870848033268,43.18181818181818,0.47669626050621405,27.835785573847172,-44.37877698822032,-13.19521588187299,16.454545454545453,127.222492255147,28.0617006570556,1.9870967741935484,6,-1.0585598740420703
72,3.0,1.0,3.0,48,61,9575.262122481567,-4.2473787751843295,155,-9.715567648688905,-1.738150264283272,-1.377518954207802,-5.488176531599532,2026-07-31 01:10:00+00:00,-1.77027243798539,57.377049180327866,0.657688181003897,23.315841335856554,-47.72278170282363,-6.962916024892374,9.62295081967213,178.7010922529849,72.63185952465754,2.7548387096774194,4,-1.0602716612127958
96,2.0,2.5,3.0,48,108,9562.653910108796,-4.3734608989120405,155,-9.995265662750597,-1.0741538834263036,-1.0463199736523938,-7.122999784989437,2026-06-19 05:35:00+00:00,-1.4032382373243915,42.592592592592595,0.8016033688641812,38.41427638394439,-35.55488392826838,-4.049500832325913,26.824074074074073,304.03313655434727,228.05971133662078,4.87741935483871,5,-1.0741538834263036
